x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86
0.032,0.027,0.026,0.017381,0.015667,0.012429,0.0097619,0.008381,0.007381,0.0064286,0.0058571,0.0042381,0.0036667,0.0032857,0.0028571,0.0022381,0.0020476,0.0018095,0.0012857,0.00080952,0.00080952,0.00052381,0.00033333,0.00033333,0.00028571,0.00028571,0.00019048,0.00019048,0.00019048,0.00014286,0.00014286,4.7619e-5,4.7619e-5,4.7619e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.004,0.004,0.001381,0.0010952,0.0007619,0.00033333,0.00019048,4.7619e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023,0.022,0.022,0.017286,0.015952,0.013762,0.011238,0.010524,0.0099524,0.0085238,0.0080952,0.0059048,0.0050476,0.0041905,0.0032857,0.0029048,0.0027143,0.0024762,0.0018571,0.0011905,0.0010952,0.00090476,0.00071429,0.00085714,0.00080952,0.00080952,0.00061905,0.00061905,0.00052381,0.00057143,0.00057143,0.00042857,0.00052381,0.00047619,0.00038095,0.00038095,0.00038095,0.00028571,0.00028571,0.00028571,0.0002381,4.7619e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.021,0.02,0.01319,0.01181,0.010286,0.0085238,0.0079048,0.0071429,0.006381,0.0054286,0.0037143,0.003,0.002381,0.0018571,0.0016667,0.0015714,0.0012857,0.00090476,0.00066667,0.00066667,0.00052381,0.00047619,0.00047619,0.00038095,0.00033333,0.00038095,0.00038095,0.00038095,0.00038095,0.00038095,0.00033333,0.00033333,0.00033333,0.00033333,0.00033333,0.00033333,0.0002381,0.0002381,0.0002381,0.0002381,0.00014286,9.5238e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048,0.043,0.044,0.034857,0.032619,0.027905,0.022762,0.021381,0.019952,0.017524,0.016667,0.013095,0.011714,0.010048,0.009,0.0084286,0.008,0.0074762,0.0064762,0.0055714,0.005381,0.0046667,0.0038095,0.0036667,0.0033333,0.0028571,0.002381,0.0020952,0.0017619,0.0018095,0.0017143,0.0014286,0.0012857,0.0012381,0.0011429,0.0010476,0.00090476,0.00057143,0.00061905,0.00061905,0.00057143,0.00033333,0.00019048,0.00014286,0.00014286,9.5238e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.239,0.23,0.227,0.20476,0.19943,0.1881,0.17486,0.1711,0.16448,0.15529,0.15005,0.13567,0.12933,0.12114,0.11505,0.10986,0.10619,0.10252,0.094381,0.087952,0.084667,0.077,0.069667,0.066048,0.061667,0.057095,0.051571,0.046571,0.042857,0.040905,0.038238,0.033952,0.029952,0.028524,0.026714,0.024619,0.02219,0.017905,0.017095,0.014952,0.012286,0.0089048,0.0076667,0.0062857,0.0058571,0.0049524,0.0037619,0.003,0.0018095,0.0014762,0.001381,0.001381,0.0011905,0.0010476,0.00095238,0.00052381,0.00047619,9.5238e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.366,1.314,1.305,1.2104,1.2013,1.1374,1.0822,1.062,1.0254,0.97962,0.94786,0.85819,0.83052,0.78419,0.761,0.72671,0.71367,0.69562,0.65257,0.61671,0.58952,0.5491,0.51257,0.49676,0.47343,0.44462,0.41338,0.38552,0.35986,0.34729,0.33052,0.3139,0.29376,0.28667,0.2761,0.25438,0.2341,0.2049,0.19795,0.1769,0.165,0.1439,0.1341,0.11652,0.1089,0.095429,0.082667,0.074333,0.062571,0.05681,0.051524,0.047571,0.038667,0.035238,0.031762,0.023238,0.022381,0.019048,0.014,0.010905,0.0086667,0.0059048,0.0044286,0.0039048,0.0035714,0.0031905,0.0024286,0.0020952,0.0018571,0.0017619,0.0015714,0.0014286,0.00066667,0.00038095,0.00014286,9.5238e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.82,1.768,1.758,1.6675,1.6498,1.5809,1.5132,1.4916,1.453,1.4148,1.3922,1.3207,1.3008,1.2542,1.2256,1.1822,1.165,1.147,1.0994,1.062,1.0321,0.97752,0.93243,0.9071,0.87376,0.83319,0.79167,0.75257,0.71457,0.70224,0.67429,0.65457,0.62476,0.61333,0.59948,0.56324,0.53519,0.49824,0.47795,0.44948,0.4301,0.39629,0.37748,0.34495,0.3301,0.293,0.2709,0.2501,0.22652,0.20167,0.18833,0.17486,0.15805,0.141,0.13124,0.10871,0.10543,0.097286,0.078095,0.070905,0.059095,0.046143,0.038905,0.033524,0.031857,0.026,0.022095,0.019143,0.017143,0.014714,0.013429,0.012667,0.008381,0.0065238,0.005,0.0041905,0.0024286,0.0021429,0.0017143,0.001,0.00095238,0.00042857,0.00052381,9.5238e-5,0.0,0.0
0.012,0.01,0.01,0.0082857,0.0066667,0.005,0.0029524,0.0012857,0.00095238,0.00042857,0.00019048,4.7619e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034,0.032,0.031,0.022714,0.022143,0.019333,0.015714,0.013762,0.012095,0.010667,0.009381,0.0068571,0.0055714,0.0047619,0.0042857,0.003619,0.0031905,0.0029048,0.0023333,0.0017143,0.001619,0.0013333,0.001,0.00090476,0.00090476,0.00085714,0.00061905,0.00042857,0.00038095,0.00042857,0.00033333,0.00028571,0.00028571,0.00028571,0.0002381,0.00028571,0.0002381,0.00014286,0.00014286,0.00014286,0.00014286,4.7619e-5,4.7619e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
