8.705550621866772198e-01,2.851031601487776790e-01,4.780116869418254977e-01,7.647755966272795636e-02,9.883983108149556607e-01,4.427583131101272551e-01,2.688233000085067381e-01,2.298296971593615234e-01
9.003318870923715522e-02,6.548640575995076096e-01,7.274418043640260567e-01,8.162049945156973907e-01,4.018481123555549539e-01,8.074476433049326829e-02,7.258046529252428769e-01,5.879877483679963879e-01
3.960168294202809358e-01,6.304135315760583946e-02,6.754563875729433509e-01,9.644384072791051254e-01,7.091844495350198008e-01,9.627337147096014514e-01,4.983641367529965116e-01,2.096336644086990164e-01
8.301390935235608559e-02,1.465093485736643775e-01,3.641048888488473967e-02,5.522328844759970545e-01,7.035034658174155187e-01,4.088769701050187777e-01,5.487489030219558916e-01,1.528970661188361335e-01
6.528071604461541666e-01,4.844551523943863014e-01,4.115163818891650616e-01,6.409667492498491992e-01,2.577310313772156469e-01,1.199795152339011572e-02,2.586633529487045724e-01,3.491815748528779295e-01
3.978170456293931290e-01,1.600117770396082273e-01,4.270727940845722159e-01,8.654373297352506711e-01,5.793786657177550925e-01,4.062312282031983468e-01,8.016581765445658370e-01,8.334104015156333922e-01
7.552774638412025343e-01,8.079742332947758010e-01,3.369413068738857930e-01,7.158967993009077713e-01,2.836772214893941157e-01,8.032890030502493062e-02,5.899031045818305952e-01,3.871874725212874901e-01
2.186688489678807468e-01,7.848985785771600554e-02,1.437546246333017974e-01,4.163377106690325791e-01,8.184411599928054226e-01,6.861075195314342290e-01,4.622555376805229654e-01,4.459150009600250097e-01
5.848598345410673804e-01,6.240850928857986091e-01,2.013103231317150410e-01,5.384957211924897846e-01,7.107401392663112993e-01,8.140177638183609954e-02,2.668479142099879908e-01,4.458317144654673214e-01
7.538380217299853747e-01,4.307686004252673229e-01,4.711546287724959203e-01,4.316542727538827950e-01,2.034766756859237580e-01,6.299431724939751343e-01,8.291877464762549277e-01,7.970994715901270622e-01
4.919817303269043984e-01,6.667423640004920271e-01,3.175092221215993771e-01,1.526902588744978306e-01,6.167517105879631867e-01,3.463873307340737950e-01,8.904137788938210063e-01,9.263595945845299884e-01
9.137934705870852659e-01,1.751567419497572775e-01,2.405463600033533877e-01,9.784599604811750062e-01,5.173296833616689572e-01,7.609339023242623901e-01,6.532717020168227195e-01,2.117583485922185371e-01
8.730564694635223333e-01,5.186672593763830275e-01,4.940953369115448357e-01,3.614663585351579611e-01,8.926728807759993778e-01,6.682405041445798055e-01,1.630263880179297908e-01,4.851148323135355822e-01
5.210985520998896448e-01,6.436185403120753268e-02,6.746675446332272008e-01,7.150992294560476470e-01,9.847482354391114967e-01,9.570959013876580990e-01,4.352260398571478062e-01,4.379880818708739021e-01
5.614718791327584224e-01,8.429434800809251227e-01,7.535873067392995228e-02,9.778407604743204473e-01,4.286711954749077291e-01,8.936000193940668579e-01,8.268221644532098846e-01,2.233513019386698106e-01
2.508033863972659594e-01,2.337822662538187046e-01,6.435028742457375994e-01,4.101191214004181740e-01,4.673389242536808430e-01,9.223638016308345344e-01,9.709094811295091443e-01,2.868108157949048609e-01
1.965846726837118252e-01,8.754104072616653021e-02,5.951153301543843366e-01,9.520224243703969691e-01,3.747827271647165004e-01,7.666611443382002067e-01,1.280344966567337206e-02,3.632408604737469293e-02
